Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter,Log_Amount,Stage_Group
ClearTax,Mobility,EV,Gurugram,"Accel, Prosus Ventures",Seed,192000,2025-01-11,2025,1,5.283301228703549,Early
QuantumAnalytics,RealEstate,Rental Tech,Gurugram,Info Edge,Pre-Series A,319000,2023-03-19,2023,1,5.503790683057181,Early
FreshTech,SaaS,MarTech,Noida,Omidyar Network,Seed,638000,2023-08-29,2023,3,5.804820678721162,Early
CloudPay,Logistics,Fleet Management,Noida,Prosus Ventures,Angel,6000,2022-05-30,2022,2,3.7781512503836434,Early
NextSense,Mobility,Micro Mobility,Mumbai,Kedaara Capital,Seed,954000,2024-09-15,2024,3,5.979548374704095,Early
FoodLoop,FoodTech,Food Delivery,Hyderabad,"Bessemer Venture Partners, Elevation Capital, Peak XV",Series A,5476000,2025-03-27,2025,1,6.7384634394619525,Growth
AeroStack,FinTech,NeoBank,Ahmedabad,Matrix Partners India,Seed,68000,2023-03-07,2023,1,4.832508912706237,Early
GrowthFlow,Media,Content,Delhi,"Kedaara Capital, Y Combinator",Series A,10651000,2023-05-23,2023,2,7.02739038468497,Growth
UrbanDrive,HealthTech,Diagnostics,Gurugram,Peak XV,Seed,1494000,2022-04-16,2022,2,6.17435059747938,Early
Flipkart,EdTech,K12,Gurugram,"IFC, Mirae Asset",Seed,63000,2025-03-13,2025,1,4.799340549453582,Early
NeoSense,EdTech,Coding Bootcamp,Chennai,"Kalaari Capital, Kedaara Capital, Zodius Capital",Series C,42331000,2023-05-30,2023,2,7.626658528085447,Late
GrowthConnect,Consumer Electronics,Wearables,Bengaluru,"Falcon Edge, Tiger Global",Growth,419740000,2021-05-18,2021,2,8.622980358183398,Late
Razorpay,Mobility,EV,Noida,Blume Ventures,Series C,151723000,2025-05-25,2025,2,8.181051421366403,Late
Dailyhunt,FoodTech,Food Delivery,Hyderabad,Omidyar Network,Series A,1648000,2022-05-15,2022,2,6.216957207361097,Growth
Udaan,Media,Streaming,Delhi,"Accel, Falcon Edge",Series A,1763000,2023-08-16,2023,3,6.246252312299322,Growth
BlueTech,Media,Streaming,Delhi,"Info Edge, Sequoia Capital India",Pre-Series A,235000,2021-10-24,2021,4,5.371067862271736,Early
CloudPay,E-commerce,D2C,Pune,"Bessemer Venture Partners, Kedaara Capital, Nexus Venture Partners",Series B,19160000,2025-01-31,2025,1,7.282395504742525,Growth
Porter,Media,Content,Pune,"Kedaara Capital, Tiger Global",Seed,489000,2023-12-19,2023,4,5.68930885912362,Early
NextSense,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, IFC, Nexus Venture Partners",Angel,15000,2023-03-04,2023,1,4.176091259055681,Early
Udaan,FoodTech,Food Delivery,Hyderabad,"Blume Ventures, Elevation Capital",Series B,18027000,2025-05-22,2025,2,7.255923458732901,Growth
LogiSense,FinTech,NeoBank,Hyderabad,"A91 Partners, Sequoia Capital India",Pre-Seed,112000,2022-10-16,2022,4,5.049218022670182,Early
NimbusLabs,AgriTech,Marketplace,Kolkata,Omidyar Network,Series A,1104000,2022-06-23,2022,2,6.04296907339318,Growth
MediHive,Mobility,EV,Ahmedabad,Tiger Global,Series A,1981000,2024-08-06,2024,3,6.296884475538547,Growth
GreenConnect_630,SaaS,B2B SaaS,Delhi,"Elevation Capital, Zodius Capital",Series D,258416000,2023-09-28,2023,3,8.412319399789721,Late
Unacademy,FinTech,Payments,Chennai,"Elevation Capital, Kedaara Capital, Prosus Ventures",Debt,26070000,2020-11-26,2020,4,7.416141031168329,Other
EduTech,Media,Streaming,Pune,SoftBank Vision Fund,Angel,23000,2020-07-09,2020,3,4.361727836017593,Early
QuantumAnalytics,Retail,Grocery,Noida,Nexus Venture Partners,Seed,356000,2022-08-22,2022,3,5.551449997972875,Early
SkillSolutions,FoodTech,Grocery,Gurugram,Accel,Series B,6730000,2023-06-07,2023,2,6.828015064223977,Growth
Unacademy,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Angel,19000,2023-12-18,2023,4,4.278753600952829,Early
FoodLoop,AgriTech,Marketplace,Pune,"Kedaara Capital, Mirae Asset",Angel,25000,2023-06-12,2023,2,4.3979400086720375,Early
Chargebee,Consumer Electronics,Audio,Ahmedabad,Sequoia Capital India,Seed,122000,2021-08-17,2021,3,5.086359830674748,Early
GrowthFlow,Retail,E-Retail,Gurugram,"Tiger Global, Y Combinator",Series C,41465000,2022-04-29,2022,2,7.61768166971834,Late
Meesho,FinTech,Lending,Hyderabad,Elevation Capital,Seed,201000,2020-05-18,2020,2,5.303196057420489,Early
AgriSense,E-commerce,D2C,Pune,"Peak XV, Zodius Capital",Pre-Series A,105000,2023-03-11,2023,1,5.021189299069938,Early
CloudLabs,SaaS,MarTech,Kolkata,Mirae Asset,Series C,47844000,2023-08-15,2023,3,7.679827481710019,Late
LogiRise,Mobility,EV,Kolkata,"A91 Partners, Falcon Edge, Tiger Global",Series C,35458000,2022-04-27,2022,2,7.5497142356794615,Late
HyperLabs,FinTech,Lending,Ahmedabad,Tiger Global,Series B,12397000,2024-06-25,2024,2,7.093316601204331,Growth
WorkPay,FinTech,WealthTech,Chennai,A91 Partners,Series A,1383000,2024-09-21,2024,3,6.140822180109311,Growth
UrbanDrive,E-commerce,D2C,Pune,"Accel, IFC",Series B,59057000,2021-07-10,2021,3,7.771271381732729,Growth
NimbusWorks,Logistics,Last Mile,Noida,Bessemer Venture Partners,Seed,447000,2020-08-17,2020,3,5.650307523131937,Early
CloudPay,Consumer Electronics,Smart Home,Bengaluru,"Blume Ventures, SoftBank Vision Fund",Series C,125810000,2025-01-27,2025,1,8.099715162351023,Late
AgriHive,Mobility,EV,Pune,Zodius Capital,Seed,919000,2024-11-20,2024,4,5.963315511386111,Early
LogiSense,FinTech,InsurTech,Chennai,Sequoia Capital India,Series B,19914000,2022-12-05,2022,4,7.299158502792247,Growth
FarmFit,AgriTech,Supply Chain,Pune,Falcon Edge,Series A,1265000,2020-04-04,2020,2,6.102090525511836,Growth
FreshTech_651,Retail,Grocery,Gurugram,Elevation Capital,Seed,363000,2021-01-29,2021,1,5.559906625036112,Early
FoodLoop,RealEstate,PropTech,Hyderabad,Sequoia Capital India,Seed,436000,2021-07-14,2021,3,5.639486489268586,Early
Zomato,EdTech,UpSkilling,Noida,"A91 Partners, Bessemer Venture Partners, Blume Ventures",Seed,782000,2020-10-16,2020,4,5.893206753059848,Early
FreshTech,SaaS,MarTech,Bengaluru,"Accel, Tiger Global, Y Combinator",Seed,246000,2022-08-22,2022,3,5.390935107103379,Early
DriveFit,AgriTech,Marketplace,Kolkata,Zodius Capital,Series A,1413000,2021-10-01,2021,4,6.150142161848558,Growth
HealthRise,Retail,Grocery,Ahmedabad,"Info Edge, Mirae Asset, Prosus Ventures",Seed,142000,2024-07-22,2024,3,5.152288344383057,Early
InMobi,Consumer Electronics,Audio,Gurugram,"Matrix Partners India, Y Combinator",Seed,191000,2025-01-08,2025,1,5.281033367247727,Early
BlueTech,RealEstate,Home Services,Pune,Mirae Asset,Series A,5750000,2020-03-02,2020,1,6.7596678446896306,Growth
NextFlow,Enterprise,Analytics,Hyderabad,"Accel, Nexus Venture Partners",Series C,93825000,2023-05-22,2023,2,7.97231857308512,Late
AeroStack,RealEstate,PropTech,Hyderabad,"Kalaari Capital, Ribbit Capital",Series A,2623000,2022-03-31,2022,1,6.418798290590353,Growth
NextSense,FoodTech,Cloud Kitchen,Pune,"Info Edge, Tiger Global",Seed,1903000,2023-11-22,2023,4,6.27943878828702,Early
DataHive,EdTech,K12,Mumbai,"Accel, Zodius Capital",Series B,26816000,2023-12-28,2023,4,7.428393996950183,Growth
SmartMart,E-commerce,Fashion,Delhi,Omidyar Network,Seed,120000,2022-04-11,2022,2,5.079181246047625,Early
QuantumAnalytics,RealEstate,Rental Tech,Bengaluru,LCatterton,Seed,73000,2024-07-31,2024,3,4.863322860120456,Early
Rapido,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital",Series A,1513000,2021-08-19,2021,3,6.1798389280231865,Growth
CoreFlow,SaaS,HRTech,Ahmedabad,LCatterton,Series C,38931000,2023-10-23,2023,4,7.590295559354024,Late
DriveEdge,SaaS,B2B SaaS,Ahmedabad,IFC,Pre-Seed,29000,2022-11-11,2022,4,4.4623979978989565,Early
HealthWorks,Mobility,Ride Sharing,Bengaluru,Accel,Series B,8387000,2024-08-07,2024,3,6.923606643017459,Growth
HealthAnalytics,EdTech,Coding Bootcamp,Ahmedabad,"A91 Partners, Y Combinator",Pre-Series A,193000,2021-10-13,2021,4,5.285557309007774,Early
NoBroker,Consumer Electronics,Audio,Gurugram,Zodius Capital,Series A,1599000,2024-09-23,2024,3,6.203848463746235,Growth
HyperLoop,Enterprise,Automation,Delhi,"Kedaara Capital, Mirae Asset, Sequoia Capital India",Seed,1367000,2020-05-26,2020,2,6.135768514567823,Early
DriveEdge,HealthTech,Telemedicine,Delhi,"Kedaara Capital, LCatterton",Series B,6246000,2022-05-01,2022,2,6.79560197989418,Growth
Innovaccer,AgriTech,Supply Chain,Kolkata,"Kalaari Capital, Lightspeed India",Series A,4139000,2023-02-04,2023,1,6.61689542640076,Growth
Innovaccer,AgriTech,Supply Chain,Ahmedabad,Kedaara Capital,Series A,3039000,2024-02-05,2024,1,6.482730700079943,Growth
NextStack,Mobility,Micro Mobility,Pune,"Mirae Asset, Y Combinator",Pre-Seed,192000,2020-03-18,2020,1,5.283301228703549,Early
AgriHive,E-commerce,Marketplace,Noida,Mirae Asset,Debt,201000,2024-03-17,2024,1,5.303196057420489,Other
HealthRise,AgriTech,Supply Chain,Gurugram,"Accel, Peak XV, Ribbit Capital",Series A,2937000,2024-02-27,2024,1,6.4679039465228,Growth
FreshTech,SaaS,B2B SaaS,Kolkata,"A91 Partners, SoftBank Vision Fund",Series A,13810000,2025-01-29,2025,1,7.1401936785786315,Growth
AgriFit,Retail,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Seed,1218000,2023-11-24,2023,4,6.085647288296856,Early
Swiggy,FinTech,InsurTech,Ahmedabad,"Ribbit Capital, Tiger Global, Zodius Capital",Seed,1019000,2020-04-15,2020,2,6.008174184006426,Early
SmartTech,HealthTech,Telemedicine,Hyderabad,Elevation Capital,Seed,129000,2023-06-15,2023,2,5.110589710299249,Early
CloudSolutions_682,E-commerce,Grocery,Delhi,Prosus Ventures,Angel,8000,2024-02-22,2024,1,3.9030899869919438,Early
Nykaa,Retail,E-Retail,Hyderabad,"Blume Ventures, Falcon Edge",Series C,122297000,2021-04-28,2021,2,8.087415803729453,Late
GreenMart,E-commerce,Marketplace,Ahmedabad,"Kalaari Capital, Ventures India",Angel,81000,2020-11-11,2020,4,4.9084850188786495,Early
AeroHub,Consumer Electronics,Smart Home,Delhi,Tiger Global,Seed,390000,2024-02-12,2024,1,5.5910646070264995,Early
CureFit,Retail,E-Retail,Bengaluru,"Elevation Capital, Ventures India",Seed,412000,2022-03-27,2022,1,5.6148972160331345,Early
PharmEasy,FoodTech,Grocery,Chennai,"IFC, Sequoia Capital India",Series A,2134000,2020-10-24,2020,4,6.329194415088451,Growth
EduMart,SaaS,B2B SaaS,Mumbai,Peak XV,Angel,50000,2023-07-29,2023,3,4.698970004336019,Early
Paytm,AgriTech,Marketplace,Hyderabad,Matrix Partners India,Seed,100000,2021-06-30,2021,2,5.0,Early
DriveFit,RealEstate,Rental Tech,Gurugram,Falcon Edge,Series B,12266000,2023-04-20,2023,2,7.088702960351474,Growth
BlueTech,FinTech,Payments,Mumbai,"Accel, Info Edge",Pre-Seed,53000,2020-07-19,2020,3,4.724275869600789,Early
HomeAnalytics,Logistics,Last Mile,Bengaluru,Peak XV,Pre-Seed,64000,2020-07-07,2020,3,4.8061799739838875,Early
GreenEdge,RealEstate,PropTech,Mumbai,Y Combinator,Seed,122000,2023-05-23,2023,2,5.086359830674748,Early
DataEdge,Media,Social,Hyderabad,Ribbit Capital,Seed,76000,2023-09-14,2023,3,4.880813592280791,Early
SkillSolutions,Media,Streaming,Pune,Elevation Capital,Seed,476000,2024-05-17,2024,2,5.6776069527204935,Early
HealthWorks,SaaS,B2B SaaS,Hyderabad,Info Edge,Bridge,145000,2021-06-26,2021,2,5.161368002234975,Other
NeoLabs,EdTech,Coding Bootcamp,Delhi,A91 Partners,Series B,25052000,2020-08-10,2020,3,7.3988424030292705,Growth
Paytm,EdTech,Test Prep,Kolkata,Tiger Global,Series B,7671000,2020-07-30,2020,3,6.884851982745998,Growth
AutoStack,FinTech,InsurTech,Delhi,Prosus Ventures,Series B,18981000,2020-01-02,2020,1,7.278319089178812,Growth
NextStack,SaaS,MarTech,Ahmedabad,"Kalaari Capital, Mirae Asset",Pre-Seed,68000,2023-12-20,2023,4,4.832508912706237,Early
CRED,Mobility,Ride Sharing,Bengaluru,"Falcon Edge, Nexus Venture Partners",Pre-Series A,113000,2023-11-12,2023,4,5.05307844348342,Early
Licious,SaaS,HRTech,Chennai,"Accel, Falcon Edge, Peak XV",Seed,173000,2025-05-17,2025,2,5.238046103128795,Early
HealthRise,Retail,Grocery,Gurugram,"Elevation Capital, Prosus Ventures",Seed,82000,2020-03-21,2020,1,4.913813852383717,Early
UrbanDrive,RealEstate,Rental Tech,Pune,"Blume Ventures, Info Edge, Sequoia Capital India",Series A,1187000,2024-12-17,2024,4,6.0744507189545915,Growth
GrowthFlow,AgriTech,Supply Chain,Kolkata,"Mirae Asset, Ribbit Capital",Pre-Series A,977000,2024-06-11,2024,2,5.9898945637187735,Early
EduBox,FinTech,Payments,Pune,"Bessemer Venture Partners, Nexus Venture Partners, Tiger Global",Seed,164000,2024-06-01,2024,2,5.214843848047698,Early
LogiRise,Enterprise,Automation,Delhi,Sequoia Capital India,Series B,47223000,2021-04-22,2021,2,7.674153573637664,Growth
SmartCare,FinTech,InsurTech,Ahmedabad,"Blume Ventures, Nexus Venture Partners, Tiger Global",Pre-Seed,36000,2023-12-07,2023,4,4.556302500767287,Early
BigBasket,Enterprise,Analytics,Kolkata,"Tiger Global, Zodius Capital",Series A,6332000,2024-09-06,2024,3,6.8015409061903185,Growth
Porter,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Seed,826000,2024-07-05,2024,3,5.916980047320382,Early
FoodFit,RealEstate,Rental Tech,Noida,Ventures India,Seed,450000,2024-09-09,2024,3,5.653212513775344,Early
NoBroker,SaaS,B2B SaaS,Mumbai,"Blume Ventures, Y Combinator",Seed,285000,2024-03-31,2024,1,5.45484486000851,Early
Dream11,Consumer Electronics,Audio,Ahmedabad,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Pre-Seed,52000,2020-07-23,2020,3,4.7160033436347994,Early
Myntra,E-commerce,Quick Commerce,Bengaluru,"Kalaari Capital, LCatterton, Ribbit Capital",Seed,181000,2020-07-01,2020,3,5.2576785748691846,Early
FarmBox,EdTech,K12,Hyderabad,Peak XV,Series A,12394000,2022-04-23,2022,2,7.09321149181366,Growth
GrowthConnect,Media,Content,Ahmedabad,Y Combinator,Bridge,1071000,2023-07-08,2023,3,6.029789470831855,Other
MediHive,EdTech,Test Prep,Noida,IFC,Bridge,1758000,2023-06-21,2023,2,6.245018870737753,Other
ClearDekho,EdTech,Coding Bootcamp,Gurugram,Bessemer Venture Partners,Seed,79000,2021-01-31,2021,1,4.897627091290442,Early
FarmBox,HealthTech,Telemedicine,Bengaluru,Info Edge,Series B,37933000,2021-08-06,2021,3,7.579017191026648,Growth
WorkStack,Retail,Grocery,Bengaluru,"Bessemer Venture Partners, Blume Ventures",Seed,1593000,2020-04-17,2020,2,6.202215775801132,Early
Myntra,Mobility,Ride Sharing,Mumbai,"Omidyar Network, SoftBank Vision Fund",Angel,9000,2024-01-17,2024,1,3.9542425094393248,Early
BlueRise,SaaS,DevTools,Mumbai,Ventures India,Seed,64000,2020-07-19,2020,3,4.8061799739838875,Early
CloudPay,EdTech,Test Prep,Kolkata,"Nexus Venture Partners, Peak XV",Series A,7441000,2020-04-21,2020,2,6.871631304537553,Growth
AutoFlow,SaaS,DevTools,Kolkata,Tiger Global,Series B,24587000,2023-07-18,2023,3,7.390705541226371,Growth
CloudPay,FinTech,NeoBank,Bengaluru,"Blume Ventures, Info Edge",Seed,1116000,2020-08-15,2020,3,6.04766419460156,Early
DataHive,Logistics,Fleet Management,Delhi,"LCatterton, Omidyar Network",Series C,29202000,2023-07-30,2023,3,7.46541259662715,Late
HomeFoods,Enterprise,Automation,Kolkata,Mirae Asset,Growth,407801000,2021-03-19,2021,1,8.610448286410119,Late
UrbanStack,Media,Social,Gurugram,LCatterton,Seed,105000,2023-04-01,2023,2,5.021189299069938,Early
WorkPay,FinTech,InsurTech,Bengaluru,"Falcon Edge, Sequoia Capital India, Ventures India",Pre-Seed,29000,2022-08-21,2022,3,4.4623979978989565,Early
GrowthCare,Media,Social,Kolkata,"Kedaara Capital, Ventures India",Series A,1560000,2020-06-19,2020,2,6.193124598354461,Growth
Freshworks,EdTech,K12,Pune,Sequoia Capital India,Seed,1009000,2023-08-19,2023,3,6.003891166236911,Early
BigBasket,HealthTech,Health Analytics,Ahmedabad,"Mirae Asset, Nexus Venture Partners",Series B,31619000,2020-02-19,2020,1,7.4999481305756515,Growth
CoreConnect,Enterprise,Security,Kolkata,"LCatterton, SoftBank Vision Fund, Tiger Global",Series B,21321000,2020-01-03,2020,1,7.32880757016209,Growth
GreenMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,2643000,2024-06-15,2024,2,6.422097163131711,Growth
HealthRise,SaaS,B2B SaaS,Noida,LCatterton,Bridge,1271000,2023-10-13,2023,4,6.1041455505540085,Other
FreshToHome,FoodTech,Food Delivery,Kolkata,Blume Ventures,Series A,2894000,2022-01-18,2022,1,6.461498526783019,Growth
CRED,Mobility,Micro Mobility,Gurugram,A91 Partners,Seed,1017000,2021-11-16,2021,4,6.007320952922744,Early
GrowthCare,Retail,Fashion,Gurugram,SoftBank Vision Fund,Series C,65689000,2024-04-07,2024,2,7.817492650545067,Late
NextStack,FoodTech,Food Delivery,Bengaluru,"Falcon Edge, Mirae Asset",Seed,201000,2021-12-08,2021,4,5.303196057420489,Early
NeoTech,Mobility,Micro Mobility,Noida,"Prosus Ventures, Y Combinator",Angel,20000,2022-07-14,2022,3,4.301029995663981,Early
Byju's,EdTech,Coding Bootcamp,Mumbai,Elevation Capital,Seed,152000,2025-01-12,2025,1,5.181843587944773,Early
Dunzo,E-commerce,Marketplace,Hyderabad,"Lightspeed India, Nexus Venture Partners",Seed,788000,2020-10-30,2020,4,5.896526217489555,Early
DataAnalytics,RealEstate,Rental Tech,Delhi,"Sequoia Capital India, Ventures India",Series A,3902000,2022-05-10,2022,2,6.591287265058499,Growth
FinFoods_744,Enterprise,Analytics,Noida,"Ribbit Capital, SoftBank Vision Fund",Series B,9519000,2022-04-23,2022,2,6.978591326820075,Growth
NeoSense,RealEstate,Rental Tech,Noida,"Elevation Capital, Nexus Venture Partners",Series D,396775000,2022-06-30,2022,2,8.59854430031659,Late
BigBasket,HealthTech,Pharmacy,Gurugram,Bessemer Venture Partners,Series A,2828000,2025-06-11,2025,2,6.451479405124862,Growth
Postman,HealthTech,Pharmacy,Hyderabad,"Kedaara Capital, Peak XV",Series A,4358000,2020-12-06,2020,4,6.639287225910237,Growth
SmartTech,HealthTech,Diagnostics,Delhi,A91 Partners,Seed,1416000,2020-03-25,2020,1,6.15106325335375,Early
Dailyhunt,Logistics,Supply Chain,Delhi,Prosus Ventures,Seed,500000,2023-12-19,2023,4,5.698970004336019,Early
FoodSolutions,Consumer Electronics,Smart Home,Delhi,Kalaari Capital,Series A,1372000,2020-09-05,2020,3,6.137354111370733,Growth
Chargebee,Retail,E-Retail,Kolkata,Tiger Global,Angel,84000,2020-11-15,2020,4,4.924279286061882,Early
ClearDekho,SaaS,HRTech,Kolkata,"Bessemer Venture Partners, Prosus Ventures",Angel,33000,2025-06-08,2025,2,4.518513939877887,Early
Ola,SaaS,B2B SaaS,Kolkata,"A91 Partners, Kalaari Capital, SoftBank Vision Fund",Angel,14000,2020-10-12,2020,4,4.146128035678238,Early
HomeAnalytics,E-commerce,D2C,Bengaluru,"Bessemer Venture Partners, Falcon Edge",Series A,1458000,2021-02-03,2021,1,6.163757523981956,Growth
QuantumSolutions,E-commerce,Grocery,Kolkata,Tiger Global,Series B,45193000,2025-05-15,2025,2,7.655071171607829,Growth
DriveFit,SaaS,B2B SaaS,Pune,Y Combinator,Pre-Series A,417000,2024-01-06,2024,1,5.620136054973758,Early
HealthAnalytics,Logistics,Supply Chain,Noida,"Kalaari Capital, Ventures India",Seed,358000,2024-01-30,2024,1,5.553883026643875,Early
Ola,Logistics,Last Mile,Chennai,Zodius Capital,Series B,59611000,2022-04-28,2022,2,7.775326407366118,Growth
Unacademy,HealthTech,Diagnostics,Hyderabad,"Tiger Global, Tiger Global",Series A,8462000,2024-11-11,2024,4,6.927473020995276,Growth
UrbanSolutions,FoodTech,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Pre-Series A,142000,2023-02-12,2023,1,5.152288344383057,Early
FinSense,Enterprise,Security,Hyderabad,Zodius Capital,Series A,2326000,2020-03-27,2020,1,6.36660971039243,Growth
Oyo,Consumer Electronics,Smart Home,Kolkata,Blume Ventures,Seed,125000,2024-06-08,2024,2,5.096910013008056,Early
Delhivery,RealEstate,Rental Tech,Kolkata,Kalaari Capital,Seed,778000,2023-09-25,2023,3,5.8909795969896885,Early
NeoLabs,RealEstate,PropTech,Bengaluru,"Tiger Global, Tiger Global",Seed,57000,2021-07-21,2021,3,4.7558748556724915,Early
ShareChat,AgriTech,Smart Farming,Ahmedabad,"Prosus Ventures, Tiger Global, Zodius Capital",Series A,4680000,2021-06-12,2021,2,6.670245853074124,Growth
NimbusWorks,AgriTech,Supply Chain,Hyderabad,SoftBank Vision Fund,Seed,833000,2020-04-29,2020,2,5.920645001406788,Early
HyperSpace,FinTech,WealthTech,Pune,Tiger Global,Pre-Series A,753000,2025-02-10,2025,1,5.876794976200701,Early
Cars24,Mobility,Micro Mobility,Mumbai,"Accel, Blume Ventures, Ventures India",Series A,2525000,2024-04-18,2024,2,6.402261382454681,Growth
AgriSense,Enterprise,Automation,Hyderabad,"Falcon Edge, Y Combinator",Seed,1034000,2023-11-30,2023,4,6.014520538757924,Early
SmartCare_770,Mobility,EV,Pune,LCatterton,Series C,26986000,2022-04-23,2022,2,7.431138516024918,Late
BharatPe,E-commerce,Marketplace,Delhi,Bessemer Venture Partners,Series A,9897000,2024-08-30,2024,3,6.995503570265006,Growth
Porter,FoodTech,Food Delivery,Mumbai,Mirae Asset,Seed,80000,2020-09-25,2020,3,4.903089986991944,Early
FreshTech,HealthTech,Health Analytics,Ahmedabad,Blume Ventures,Series A,2933000,2025-06-09,2025,2,6.467312062980552,Growth
Oyo,FinTech,Payments,Gurugram,Prosus Ventures,Seed,947000,2023-11-22,2023,4,5.976349979003273,Early
BigBasket,HealthTech,Diagnostics,Delhi,"Accel, Sequoia Capital India, Ventures India",Debt,254000,2022-05-20,2022,2,5.4048337166199385,Other
AgriHive,FinTech,Lending,Mumbai,"Mirae Asset, Omidyar Network",Pre-Seed,34000,2023-09-13,2023,3,4.531478917042255,Early
AutoStack_777,Logistics,Fleet Management,Bengaluru,LCatterton,Series C,141405000,2024-05-21,2024,2,8.150464766137105,Late
CoreFlow,EdTech,K12,Pune,"Peak XV, Y Combinator",Pre-Seed,105000,2020-10-25,2020,4,5.021189299069938,Early
BharatPe,Enterprise,Automation,Ahmedabad,Accel,Seed,532000,2023-03-13,2023,1,5.725911632295048,Early
UrbanStack,Media,Social,Hyderabad,"Kedaara Capital, Sequoia Capital India",Seed,647000,2024-03-24,2024,1,5.810904280668701,Early
Meesho,Mobility,Micro Mobility,Kolkata,Info Edge,Pre-Series A,349000,2023-04-22,2023,2,5.54282542695918,Early
AeroStack,SaaS,MarTech,Chennai,"Accel, Tiger Global",Seed,127000,2021-04-11,2021,2,5.103803720955957,Early
NeoTech,Mobility,Ride Sharing,Kolkata,A91 Partners,Series C,51004000,2023-12-14,2023,4,7.707604237074535,Late
Razorpay,E-commerce,D2C,Kolkata,"Omidyar Network, SoftBank Vision Fund",Seed,98000,2021-08-03,2021,3,4.991226075692495,Early
Ola,EdTech,Coding Bootcamp,Hyderabad,IFC,Debt,28306000,2022-05-26,2022,2,7.451878502333504,Other
FarmBox,SaaS,DevTools,Bengaluru,"Accel, Info Edge, Prosus Ventures",Debt,3755000,2022-10-03,2022,4,6.574609941340187,Other
WorkFit,FoodTech,Food Delivery,Ahmedabad,Tiger Global,Bridge,219000,2024-02-27,2024,1,5.3404441148401185,Other
BlueRise,AgriTech,Smart Farming,Mumbai,"Mirae Asset, Ventures India",Seed,275000,2022-05-19,2022,2,5.439332693830263,Early
SkillFlow,Retail,Fashion,Chennai,"Peak XV, Tiger Global",Pre-Series A,886000,2023-09-27,2023,3,5.947433721887051,Early
QuantumSolutions,Consumer Electronics,Audio,Mumbai,Ribbit Capital,Seed,88000,2022-10-15,2022,4,4.944482672150168,Early
HyperSpace_791,Media,Social,Mumbai,Y Combinator,Series A,4892000,2020-02-24,2020,1,6.6894864483642476,Growth
NeoSense,AgriTech,Marketplace,Mumbai,"Bessemer Venture Partners, Ventures India",Series C,78705000,2023-09-15,2023,3,7.89600232325402,Late
CloudPay,Consumer Electronics,Wearables,Noida,"A91 Partners, Peak XV",Seed,477000,2021-12-04,2021,4,5.678518379040114,Early
GreenMart,E-commerce,Fashion,Kolkata,"Info Edge, Sequoia Capital India",Seed,53000,2022-02-09,2022,1,4.724275869600789,Early
Oyo,Media,Social,Kolkata,"A91 Partners, Kalaari Capital, Ventures India",Series A,10610000,2021-10-01,2021,4,7.025715383901341,Growth
NeoLabs,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Series A,12481000,2023-02-25,2023,1,7.096249383189612,Growth
DriveFit,AgriTech,Smart Farming,Ahmedabad,SoftBank Vision Fund,Series B,23958000,2024-04-18,2024,2,7.379450560577981,Growth
ClearTax,AgriTech,Supply Chain,Delhi,"Omidyar Network, Ribbit Capital, Ventures India",Series D,248669000,2021-12-15,2021,4,8.395621647883182,Late
QuantumAnalytics,SaaS,HRTech,Chennai,Matrix Partners India,Pre-Series A,837000,2023-09-16,2023,3,5.92272545799326,Early
FreshTech,Media,Social,Hyderabad,Falcon Edge,Seed,679000,2020-12-13,2020,4,5.831869774280501,Early
GrowthConnect,Enterprise,Security,Ahmedabad,Sequoia Capital India,Series A,1511000,2022-05-12,2022,2,6.179264464339026,Growth
CoreSpace,SaaS,MarTech,Ahmedabad,Zodius Capital,Pre-Series A,377000,2023-03-18,2023,1,5.576341350205793,Early
Practo,Media,Streaming,Gurugram,"Omidyar Network, SoftBank Vision Fund, Y Combinator",Seed,469000,2022-10-26,2022,4,5.671172842715083,Early
DriveEdge,RealEstate,PropTech,Noida,Elevation Capital,Seed,239000,2021-06-27,2021,2,5.378397900948138,Early
FoodFit,AgriTech,Marketplace,Mumbai,Omidyar Network,Series B,38525000,2023-03-30,2023,1,7.585742647390457,Growth
SkillFlow_806,Retail,Fashion,Kolkata,Ribbit Capital,Pre-Series A,860000,2021-12-12,2021,4,5.9344984512435675,Early
Oyo,Mobility,EV,Chennai,Kalaari Capital,Series B,65083000,2021-10-03,2021,4,7.813467563524457,Growth
AutoStack,Consumer Electronics,Smart Home,Noida,"A91 Partners, IFC, Kedaara Capital",Seed,264000,2020-02-08,2020,1,5.421603926869831,Early
Meesho,RealEstate,Rental Tech,Kolkata,"IFC, Zodius Capital",Seed,76000,2023-07-30,2023,3,4.880813592280791,Early
DriveEdge,Media,Streaming,Bengaluru,Nexus Venture Partners,Series A,14397000,2022-01-16,2022,1,7.158272004652084,Growth
